id,filename,label,category,stt_text,human_transcription,ref_len,cer,sub,del,ins,whitespace
S00000365_t0035,0035.wav,0,교육,아 알겠어요 그럼 일단 함부리라도 해주세요,어/ 알겠어요. 어/ 그럼 일단 환불이라도 해주세요.,29,0.344828,4,6,0,1
S00000365_t0036,0036.wav,0,교육,함부를 언제 받을 수 있는 거죠?,환불은 언제 받을 수 있는 거죠?,18,0.166667,3,0,0,0
S00000365_t0037,0037.wav,0,교육,최소 일주 길면 2주 정도 걸릴 거라 이 상대입니다.,최소 (1)/(일)주 길면 (2)/(이)주 정도 걸릴 거라 예상됩니다.,39,0.410256,2,12,2,1
S00000365_t0038,0038.wav,0,교육,아 너무 늦어요,아우/ 너무 늦어요.,11,0.272727,0,3,0,0
S00000365_t0039,0039.wav,0,교육,명백기 지금 학습 지회가 잘못인데 더 빨리 처리는 안 되는 건가요?,명백히 지금 학습지 회사 잘못인데 더 빨리 처리는 안 되는 건가요?,37,0.108108,4,0,0,2
S00000365_t0040,0040.wav,0,교육,금융사 사정이라 불가능합니다.,금융사 사정이라 불가능합니다.,16,0.000000,0,0,0,0
S00000365_t0041,0041.wav,0,교육,아우 정말 답답하네요. 엄마들이 계속 현금 결제 하라고 할 때 선생님이 조금 더 편하시라고 자동결제했더니 이런 일이 발생할 때 누가 알았겠어요?,어우/ 정말 답답하네요. 엄마들이 계속 현금 결제하라고 할 때 선생님 조금 더 편하시라고 자동 결제했더니 이런 일이 발생할 줄 누가 알았겠어요.,80,0.087500,3,2,2,2
S00000365_t0042,0042.wav,0,교육,"저희 카드 정보는 답 폐기해주세요. 중앙교육 나름 큰 회사라서 믿고 있었는데, 이런 식으로 개인정보철회하시면 안 되는 거예요",어/ 저희 카드 정보는 다 폐기 해주세요. 중앙교육 나름 큰 회사라서 믿고 있었는데 이런 식으로 개인정보 처리하시면 안 되는 거예요.,74,0.135135,3,6,1,3
S00000365_t0044,0044.wav,0,교육,이런 일 계속 반복되면 실내도 떨어지는 거 아셔야 해요.,어/ 이런 일이 계속 반복되면 신뢰도 떨어지는 걸 아셔야 해요.,35,0.200000,3,4,0,1
S00000365_t0045,0045.wav,0,교육,"저희는 그나마 선생님이 좋았고, 아이가 만족했으니까 넘어가는 거지.",저희는 그나마 선생님이 좋았고 아이가 만족했으니까 넘어가는 거지,35,0.057143,0,0,2,0
S00000365_t0046,0046.wav,0,교육,다른 엄마를 이런 일 안 참아요. 아시죠?,다른 엄마들 이런 일을 안 참아요. 아시죠?,24,0.083333,1,1,0,0
S00000365_t0048,0048.wav,0,교육,그럼 함부를 되는걸로 알고 이만 끊을게요,아/ 그럼 환불 되는 걸로 알고 이만 끊을게요.,26,0.307692,2,5,1,2
S00000365_t0049,0049.wav,0,교육,네 감사합니다. 상담사 이진혁이었습니다,네 감사합니다. 상담사 이진형이었습니다.,22,0.090909,1,1,0,0
S00000409_t0002,0002.wav,0,교육,안녕하세요. 덜지 때문에 전화 드렸어요,"안녕하세요, 결제 때문에 전화드렸어요.",21,0.238095,3,1,1,1
S00000409_t0003,0003.wav,0,교육,분장 살 때 중앙교육 학습지 몇 년 했었고요. 지금 학습 지 이용 안 하고 있거든요,분당 살 때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 이용 안하고 있거든요.,46,0.108696,1,2,2,2
S00000409_t0004,0004.wav,0,교육,그리고 저희 서추로 잊어두었고요.,그리고 저희 서초로 이사도 했고요.,19,0.315789,5,1,0,1
S00000409_t0006,0006.wav,0,교육,근데 며칠 전에 갑자기 여기 학습지 결제 문자가 뜨더라고요. 18만 원이 결제 됐는데,근데 며칠 전에 갑자기 여기 학습지 결제 문자가 뜨더라고요. (18만원)/(십 팔만 원)이 결제됐는데,56,0.196429,0,10,1,2
S00000409_t0007,0007.wav,0,교육,지금 여장 수칙 이용을 안 하고 있어요? 어떻게 된 건가요,저희 지금 여기 학습지 이용을 안 하고 있어요. 어떻게 된 건가요?,37,0.243243,4,5,0,1
S00000409_t0009,0009.wav,0,교육,네 빨리 알아가주세요 그때 분명히 선생님하고도 잘 인사했고 마치고 끝났는데 갑자기 결제 문자 와서 놀랐거든요,네. 빨리 알아봐주세요. 그때 분명히 선생님하고도 잘 인사했고 마치고 끝냈는데 갑자기 결제 문자 와서 놀랐거든요.,63,0.079365,2,3,0,0
S00000409_t0010,0010.wav,0,교육,"네, 아라봉들과 학습 종료가 안 된 걸로 나와 있습니다.",네. 알아본 결과 학습 종료가 안 된 걸로 나와있습니다.,31,0.193548,4,1,1,2
S00000409_t0011,0011.wav,0,교육,확습이 중요가 안됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요,학습이 종료가 안 됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요?,41,0.121951,3,2,0,1
S00000409_t0013,0013.wav,0,교육,선생님하고 어떻게 이야기가 됐길래 학습 종료가 안 돼요.,선생님하고 어떻게 이야기가 됐길래 학습종료가 안 돼요.,30,0.033333,0,0,1,1
S00000409_t0014,0014.wav,0,교육,알아보고 처리해 드리겠습니다.,알아보고 처리해 드리겠습니다.,16,0.000000,0,0,0,0
S00000409_t0015,0015.wav,0,교육,처리해주는 건 당연하고요. 그것보다 저희 카드 번호도 분명히 개인정보인데 해체하면 삭제해야 하는 거 아닌가요?,처리해주는 건 (당연하고요)/(당연하구요). 그것보다 저희 카드번호도 분명히 개인정보인데 해지하면 삭제해야 하는 거 아닌가요?,70,0.171429,1,10,1,1
S00000409_t0016,0016.wav,0,교육,이전에 저약 습지할 때도 결제 금액 이상해서 고객 센터의 문휘해보니까,"예전에 저희 학습지 할 때도 결제금액 이상해서 고객센터에 문의해보니까,",39,0.230769,4,3,2,3
S00000409_t0017,0017.wav,0,교육,저희가 하지도 않은 과목을 등록시켜서 그게 두 달 분이나 결제돼,저희가 하지도 않은 과목을 등록시켜서 그게 (2달)/(두 달) 분이나 결제 되,43,0.209302,1,8,0,1
S00000409_t0018,0018.wav,0,교육,결제가 됐더라고요.,결제가 됐더라고요?,10,0.100000,1,0,0,0
S00000409_t0020,0020.wav,0,교육,저희가 알았으니까 방정이지 몰랐으면 그렇게 남의 계좌에서,"저희가 알았으니까 망정이지, 몰랐으면 그렇게 남의 계좌에서",32,0.062500,1,1,0,0
S00000409_t0021,0021.wav,0,교육,돈 계속 빼내갔을 거 아니에요? 통지 같은 것도 안 해주고,돈 계속 빼내갔을 거 아니에요? 통지 같은 것도 안 해주고.,33,0.030303,0,1,0,0
S00000409_t0023,0023.wav,0,교육,그때는 이제 애가 여기 선생님도 좋아하시고 학습지도 마음에 들어 하고 있어서 그냥 넘겼거든요.,그때는 이제 애가 여기 선생님도 좋아하시+ 좋아하고 학습지도 맘에 들어하고 있어서 그냥 넘겼거든요.,55,0.145455,1,5,2,2
S00000409_t0024,0024.wav,0,교육,남편은 이런거 그냥 넘기면 안된다고 했지만 애가 잘하고 있는데,"남편은 이런 거 그냥 넘기면 안된다고 했지만, 애가 잘 하고 있는데",37,0.081081,0,3,0,2
S00000409_t0025,0025.wav,0,교육,괜히 현대인 불편하게 만들어서 좋을 거 없으니까요,괜히 선생님 불편하게 만들어서 좋을 거 없으니까요.,28,0.142857,3,1,0,0
S00000409_t0026,0026.wav,0,교육,근데 저희 분명히 그만뒀는데 결제되는 건 좀 아니잖아요?,근데 저희 분명히 그만뒀는데 결제되는 건 좀 아니잖아요.,31,0.032258,1,0,0,0
S00000409_t0028,0028.wav,0,교육,한번 이해하고 넘어갔으면 좀 더 조심해줘야 하는 거 아닌가요?,한번 이해하고 넘어갔으면 좀더 조심해줘야 하는 거 아닌가요?,33,0.030303,0,0,1,1
S00000409_t0030,0030.wav,0,교육,그러면 이거 어떻게 처리해줄 거예요? 저는 지금 당장 확륙 종료해 주시고요.,"그러면 이거 어떻게 처리해줄 거예요? 저는 지금 당장 학습 종료해주시고요,",41,0.097561,3,0,1,1
S00000409_t0031,0031.wav,0,교육,저희 결계는 금이 환불 처리해주셨으면 좋겠어요.,저희 결제된 금액 환불처리 해주셨으면 좋겠어요.,26,0.192308,3,1,1,2
S00000409_t0032,0032.wav,0,교육,저희 이사오고 나서 바로는 결제가 안 됐어요.,저희 이사 오고 마+ 나서 바로는 결제가 안됐어요,27,0.222222,0,4,2,3
S00000409_t0033,0033.wav,0,교육,그러고 한 달 지나서 갑자기 결지르는 게 조금 이상하지 않아요?,(그리고)/(그러고) (1달)/(한 달) 지나서 갑자기 결제되는 게 좀 이상하지 않아요?,49,0.387755,3,15,1,0
S00000409_t0034,0034.wav,0,교육,계속 결제 됐으면 모르겠는데 갑자기 생일 뜨니까 놀랐다고요.,계속 결제됐으면 모르겠는데 갑자기 승인 뜨니까 놀랐다고요.,32,0.093750,2,0,1,1
S00000409_t0035,0035.wav,0,교육,죄송합니다. 확인 처리해 드리겠습니다,죄송합니다. 확인 후 처리해 드리겠습니다.,23,0.130435,0,3,0,1
S00000409_t0036,0036.wav,0,교육,함부로는 얼마나 걸리네요?,환불은 얼마나 걸리나요?,13,0.384615,4,0,1,0
S00000409_t0037,0037.wav,0,교육,시스템상 바로 해지는 불가능하고요. 박수치는 한 달 후에 종리됩니다,시스템상 바로 해지는 불가능(하고요)/(하구요). 학습지는 (1달)/(한 달) 후에 종료됩니다.,53,0.377358,4,16,0,0
S00000409_t0038,0038.wav,0,교육,그건 바로 해주셔야죠. 저희는 분명 전에 해지 다 했는데,"아니 그건 바로 해주셔야죠. 저희는 분명 전에 해지 다 했는데,",35,0.114286,0,4,0,1
S00000409_t0039,0039.wav,0,교육,선생님은 그쪽 문제고요. 저희는 지금 이용하지도 않은 학습지가 결계됐으니까,시스템은 그쪽 문제고요. 저희는 지금 이용하지도 않은 학습지가 결제됐으니까,41,0.097561,4,0,0,0
S00000409_t0040,0040.wav,0,교육,금액을 돌려달라는데,"금액을 돌려달라는데,",11,0.090909,0,1,0,0
S00000409_t0041,0041.wav,0,교육,그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?,그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?,29,0.000000,0,0,0,0
S00000409_t0042,0042.wav,0,교육,상부 확인 후 결제 지소는 바로 해드리겠습니다. 종료는 한 달 후에 가능하십니다,상부 확인 후 결제 취소는 바로 해드리겠습니다. 종료는 (1달)/(한 달) 후에 가능하십니다.,52,0.173077,1,8,0,0
S00000409_t0043,0043.wav,0,교육,알겠어요 그럼 일단 함부리라도 해주세요. 함불은 언제 받을 수 있는 거예요?,알겠어요. 그럼 일단 환불이라도 해주세요. 환불은 언제 받을 수 있는 거예요?,43,0.116279,4,1,0,0
S00000409_t0044,0044.wav,0,교육,최소 1주 길면 2주 정도 걸릴 거라고 예상됩니다.,"최소 (1주)/(일 주), 길면 (2주)/(이 주) 정도 걸릴거라 예상됩니다.",43,0.441860,0,17,2,3
S00000409_t0045,0045.wav,0,교육,너무 늦어요. 명독히 지금 학습지회사 잘못인데 더 빨리 처리는 안 되는 건가요?,너무 늦어요. 명백히 지금 학습지 회사 잘못인데 더 빨리 처리는 안되는 건가요?,44,0.068182,1,1,1,2
S00000409_t0046,0046.wav,0,교육,금융사 사정이라 불가능합니다.,금융사 사정이라 불가능합니다.,16,0.000000,0,0,0,0
S00000409_t0047,0047.wav,0,교육,와 정말 답답하네요. 엄마들이 계속 선금들지 하라고 할 때 선생님 조금 더 편하시라고 자동들대로 했더니,"하/ 정말 답답하네요. 엄마들이 계속 현금 결제 하라고 할 때 선생님 조금 더 편하시라고 자동 결제로 했더니,",61,0.163934,6,4,0,2
S00000409_t0048,0048.wav,0,교육,이런 일이 발생할 줄 누가 알았겠어요?,이런 일이 발생할 줄 누가 알았겠어요.,21,0.047619,1,0,0,0
S00000409_t0049,0049.wav,0,교육,"저희 카드 정보들 다 폐기해주세요. 중앙 교육, 나름 큰 여사라고 믿고 있었는데",저희 카드정보도 다 폐기해주세요. 중앙교육 나름 큰 회사라서 믿고 있었는데,41,0.146341,3,0,3,2
S00000409_t0050,0050.wav,0,교육,이런 식으로 개인정보 처리하시면 안 되는 거예요.,이런 식으로 개인정보 처리하시면 안 되는 거예요.,27,0.000000,0,0,0,0
S00000409_t0052,0052.wav,0,교육,이런 일 계속 반복되면 실내도 떨어지는 거 아셔야 해요.,이런 일이 계속 반복되면 신뢰도 떨어지는 거 아셔야 해요.,32,0.093750,2,1,0,0
S00000409_t0053,0053.wav,0,교육,"저희는 그나마 선생님이 좋았고 아이가 만족했으니까 넘어가는 거지 다른 엄마도 이런 일 안 참아요, 아시죠?","저희는 그나마 선생님이 좋았고 아이가 만족했으니까 넘어가는 거지, 다른 엄마들 이런 일 안 참아요. 아시죠?",60,0.050000,2,1,0,0
S00000409_t0055,0055.wav,0,교육,그럼 함불 대는 거를 알고 이만 끊을게요.,그럼 환불 되는 걸로 알고 이만 끊을게요,22,0.227273,4,0,1,0
S00000448_t0001,0001.wav,0,교육,네 고객님 중앙교육의 이증혁 상담원입니다.,네. 고객님 중앙교육의 이진혁 상담원입니다.,24,0.083333,1,1,0,0
S00000448_t0002,0002.wav,0,교육,안녕하세요. 결제팀의 전화기입니다!,안녕하세요 결제 때문에 전화드렸어요.,20,0.500000,7,2,1,1
S00000448_t0003,0003.wav,0,교육,본당 살기 4의 중앙교육 학습지 몇 년 했었고요. 지금은 학습 지 이용 안 하고 있거든요 그리고 저희 서초로 이사도 했고요,분당 살때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 이용 안하고 있거든요. 그리고 저희 서초로 이사도 했고요.,65,0.138462,2,2,5,3
S00000448_t0004,0004.wav,0,교육,근데 며칠 전에 갑자기 여기 학습지휴를 좀 은사가 뜨더라고요. 18년이 근추됐는데 저희 지금 여기 학생 지휴 이용을 안 하고 있어요 어떻게 되는 건가요?,그런데 몇 주전에 갑자기 여기 학습지 결제 문자가 뜨더라고요. (18)/(십 팔)만원이 결제 됐는데 저희 지금 여기 학습지 이용을 안 하고 있어요. 어떻게 된건가요?,92,0.336957,14,12,5,8
S00000448_t0006,0006.wav,0,교육,"빨리 알아봐주세요. 그때 분명히 선생님하고, 선생님과 잘 인사했고 마치고 끝났는데 각자의 결뜸을 좋아해서 놀랐거든요",네 빨리 알아봐주세요 그때 분명히 선생님하고 + 선생님하고도 잘 인사했고 마치고 끝냈는데 갑자기 결제 문자 와서 놀랐거든요.,69,0.260870,11,6,1,5
S00000448_t0007,0007.wav,0,교육,"네, 알아본 결과 학습 종료가 안 된 걸로 나와 있습니다.",네 알아본 결과 학습 종료가 안 된걸로 나와있습니다.,29,0.103448,0,0,3,2
S00000448_t0008,0008.wav,0,교육,박수비 종용 안 됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요.,학습이 종료 안 됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요.,40,0.100000,4,0,0,0
S00000448_t0011,0011.wav,0,교육,"네, 알아보고 처리해 드리겠습니다.",네 알아보고 처리해 드리겠습니다.,18,0.055556,0,0,1,0
S00000448_t0012,0012.wav,0,교육,그거보다 저희 카드보는 분명히 개인정보인데 해지하면 탁재해야 하는 거 아닌가요?,처리해 주는건 당연하고요. 그것보다 저희 카드 번호도 분명히 개인정보인데 해지 하면 삭제해야 하는거 아닌가요?,61,0.393443,5,18,1,6
S00000448_t0013,0013.wav,0,교육,예전에 저희 학습 때 할 때도 결제금에 이상해서 고객 산타임을 비니해 보니까 저희가 하지도 않은 검옥을 등록시켜서 그게 두 달 분이나 결제가 됐더라고요.,예전에 저희 학습지 할때도 결제금액 이상해서 고객센터에 문의해보니까 저희가 하지도 않은 과목을 등록시켜서 그게 (둘)/(두) 달분이나 결제가 됐더라고요.,85,0.247059,9,6,6,5
S00000448_t0015,0015.wav,0,교육,저희가 알았으니까 망정이지 몰랐으면 그렇게 남의 기사에서 돈 계속 빼내 같은 거 아니에요. 동지같은 것도 안 해주고,저희가 알았으니까 망정이지 몰랐으면 그렇게 남의 계좌에서 돈 계속 빼내갔을 것 아니에요. 통지 같은 것도 안해주고.,64,0.156250,6,2,2,3
S00000448_t0017,0017.wav,0,교육,그때는 이제 애가 여기 선생님을 좋아하고 학생이 마음에 들어 하고 있어서 그냥 넘겼거든요. 남편은 이런 거 그냥 넘기면 안 된다고 했지만 애가 잘하고 있는데 괜히 선생님 불편하게,그때는 이제 얘+ 애가 여기 선생님도 좋아하고 학습지도 마음에 들어하고 있어서 그냥 넘어갔거든요 + 넘겼거든요. 남편은 이런 거 그냥 넘기면 안 된다고 했지만 애가 잘 하고 있는데 괜히 선생님이 불편하게,113,0.168142,3,15,1,5
S00000448_t0018,0018.wav,0,교육,근데 저희 분명히 그만 넣는데 결주되는 건 좀 아니잖아요,만들어서 좋을 거 없으니까요. 그런데 저희 분명히 그만뒀는데 결제되는 건 좀 아니잖아요.,49,0.469388,3,19,1,5
S00000448_t0019,0019.wav,0,교육,한번 이해하고 넘어가서 좀 더 조심해 좋아하는 거 아닌가요?,(하나)/(한)번 이해하고 넘어갔으면 좀 더 조심해줘야 하는거 아닌가요?,40,0.350000,5,8,1,3
S00000448_t0021,0021.wav,0,교육,그러면 이거 어떻게 처리해줄 거예요? 저는 지금 당장 학습 종료해주시고요. 저희 결제 대금에 한불처리 했으면 좋겠어요,그러면 이거 어떻게 처리해줄 거에요?지+ 저는 지금 당장 학습 종료해주시고요. 저희 결제 대금액 환불처리 해주셨으면 좋겠어요.,70,0.128571,4,5,0,0
S00000448_t0022,0022.wav,0,교육,저희 이사하고 나서는 바로 결제가 안됐어요 그러고 한달 지나서 갑자기 결제되는 건 좀 이상하지 않아요?,저희 이사하고 나서는 바로 결제가 안 됐어요. 그러고 (하나)/(한) 달 지나서 갑자기 결제되는 건 좀 이상하지 않아요?,67,0.149254,0,10,0,2
S00000448_t0023,0023.wav,0,교육,계속 결정했으면 모르겠는데 갑자기 스윗드니까 놀랐다고요.,계속 결제 됐으면 모르겠는데 갑자기 출입되니까u/ 놀랐다고요.,34,0.235294,5,3,0,1
S00000448_t0024,0024.wav,0,교육,죄송합니다. 확인 후 처리해 드리겠습니다,죄송합니다. 확인 후 처리해 드리겠습니다.,23,0.043478,0,1,0,0
S00000448_t0025,0025.wav,0,교육,얼마나 걸리는데요?,환불은 얼마나 걸리는데요?,14,0.285714,0,4,0,1
S00000448_t0026,0026.wav,0,교육,시스템상 바로 해지는 불가능합니다. 학습지는 한 달 후에 종료됩니다,시스템상 바로 해지는 불가능합니다. 학습지는(하나)/(한)달 후에 종료됩니다.,43,0.186047,2,6,0,2
S00000448_t0027,0027.wav,0,교육,"아니 그럼 바로 해주셔야죠. 저희는 분명 전에 해결이 다 했는데 실제에는 그쪽인데고요, 저희는 지금 이용하지도 않은 학습지가 결투됐으니까 금액을 돌려놔나오는데 그걸 지금 바로 처리해 주는 것도 아니고 늦추겠다고요?",아니 그건 바로 해 주셔야죠. 저희는 분명히 전에 해지 다 했는데 시스템은 그쪽 문제고요. 저희는 지금 이용하지도 않은 학습지가 결제를 됐으니까 금액을 돌려달라는 건데 그걸 지금 바로 처리해 주는 것도 아니고 늦추겠다고요?,124,0.169355,14,6,1,4
S00000448_t0028,0028.wav,0,교육,상부 확인 후 결제 취소는 바로 해드리겠습니다. 종류는 한 달 후에 가능하십니다,상부 확인 후 결제 취소는 바로 해드리겠습니다. 종료는 (하나)/(한) 달 후에 가능하십니다.,52,0.173077,1,8,0,0
S00000448_t0029,0029.wav,0,교육,알겠어요 그럼 1도 한 분이라도 해주세요.,알겠어요. 그럼 일단 환불이라도 해주세요. 환불은 언제 받을 수 있는 거예요?,43,0.604651,4,21,1,7
S00000448_t0030,0030.wav,0,교육,채소 일을 쭉 길면 2주 정도 걸릴 거라 예상됩니다.,최소 (1)/(일) 주 길면 (2)/(이) 주 정도 걸릴 거라 예상됩니다.,41,0.365854,3,12,0,1
S00000448_t0031,0031.wav,0,교육,너무 늦어요. 명백히 지금 학습 중에서 닮으신데 더 빨리 처리는 안 되는 건가요?,너무 늦어요. 명백히 지금 학습지 회사 잘못인데 더 빨리 처리가 안 되는 건가요?,45,0.177778,8,0,0,2
S00000448_t0032,0032.wav,0,교육,금융사 사정이라 불가능합니다.,금융사 사정이라 불 가능합니다.,17,0.058824,0,1,0,1
S00000448_t0033,0033.wav,0,교육,엄마들이 계속 현금 결제하라고 할 때 선생님 조금 더 편하시라고 자동결제를 했더니 이런 일이 발생할 줄 누가 알았겠어요.,엄마들이 계속 현금 결제하라고 할 때 선생님 조금 + 조금 더 편하시라고 자동 결제로 했더니 이런 일이 발생할 줄 누가 알았겠어요.,73,0.095890,1,6,0,3
